City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Simao,CN,22.7886,100.9748,43.65,72,0,0.63,clear sky
282,Lagoa,PT,39.05,-27.9833,57.97,72,0,6.42,clear sky
283,Xinyu,CN,27.8043,114.9334,37.92,92,100,3.2,overcast clouds
284,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,27.63,light intensity shower rain
285,Tkibuli,GE,42.3477,42.9981,40.24,65,88,9.13,overcast clouds
286,Vyartsilya,RU,62.1764,30.693,-2.87,100,56,2.68,broken clouds
287,Chapais,CA,49.7834,-74.8492,10.18,91,100,7.16,overcast clouds
288,Capitao Poco,BR,-1.7464,-47.0594,73.17,96,95,4.05,overcast clouds
289,Jackson,US,42.4165,-122.8345,51.03,51,0,0.0,clear sky
290,Upernavik,GL,72.7868,-56.1549,-9.33,67,97,9.95,overcast clouds
291,Ballina,AU,-28.8667,153.5667,75.16,96,75,10.36,broken clouds
292,Guozhen,CN,34.3659,107.359,29.1,85,72,1.63,broken clouds
293,Benguela,AO,-12.5763,13.4055,73.53,76,22,2.51,few clouds
294,Valley Station,US,38.1112,-85.8702,50.81,93,100,1.99,light rain
295,Linhares,BR,-19.3911,-40.0722,73.76,97,98,3.44,overcast clouds
296,Alexandroupoli,GR,40.8475,25.8744,42.33,75,75,17.27,broken clouds
297,Wagar,SD,16.1525,36.2032,72.36,58,99,9.78,overcast clouds
298,Takahashi,JP,34.7833,133.6167,37.65,60,99,8.55,overcast clouds
299,Puerto Escondido,MX,15.85,-97.0667,79.83,67,4,6.62,clear sky
300,Tulum,MX,20.2167,-87.4667,80.65,87,18,7.52,few clouds
301,Hue,VN,16.4667,107.6,64.51,94,75,3.44,mist
302,Dehloran,IR,32.6941,47.2679,52.61,38,41,2.28,scattered clouds
303,Puerto El Triunfo,SV,13.2833,-88.55,84.36,76,3,5.99,clear sky
304,Portland,US,45.5234,-122.6762,47.25,92,100,1.01,overcast clouds
305,Berlevag,NO,70.8578,29.0864,26.22,70,100,12.82,light snow
306,Grand Haven,US,43.0631,-86.2284,24.03,66,100,4.0,overcast clouds
